instance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
crossing_traffic_inst_mdp__1.log,0.970174807,0.973296825,0.974274002,0.975181702,0.974436176,0.975072316,0.975083448,0.971880094, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__10.log,0.642966445,0.660296314,0.657329649,0.680195943,0.626007842,0.671645295,0.672358597,0.67075803,0.67770909,0.664269236,0.706393877,0.667333242,0.666840861,0.652667687,0.661821633,0.634957911,0.695981568,0.680487218,0.680906264,0.740088741,0.693916126,0.688560765,0.671150741,0.631341262,0.647103485,0.650705405,0.646675171,0.711961388,0.675091491,0.680672958,0.677281974,0.539025683,0.434769473,0.392486231,0.333831478,0.250202993,0.233539273,0.215158031,0, nan
crossing_traffic_inst_mdp__2.log,0.965429891,0.971651786,0.973264833,0.980578988,0.981937997,0.985745435,0.98581873,0.984986652, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__3.log,0.81062038,0.847644181,0.92417877,0.941767836,0.951699642,0.939778972,0.963161209,0.979164479,0.979848526,0.977251422, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__4.log,0.533996577,0.573960579,0.649486354,0.701828533,0.72286449,0.76038474,0.743200087,0.829361831,0.784955651,0.847753681,0.788572028,0.804897876,0.755887007,0.696826847,0.762195145,0.80856107,0.960131813,0.964887479,0.956268442, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__5.log,0.684237883,0.735446131,0.890532984,0.956148994,0.977695402,0.981592459,0.979655835,0.985218443,0.986862015,0.985217961, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__6.log,0.725873643,0.663005869,0.648007233,0.650213115,0.712134442,0.734370701,0.74824566,0.763319857,0.726234939,0.72579787,0.734588347,0.740705287,0.717346311,0.786633671,0.800451353,0.784791641,0.81959838,0.790810325,0.78267505,0.783470823,0.791962942,0.791420565,0.760924037,0.705368371,0.608116296,0.635401522,0.682088444,0.586489598,0.760544654,0.769857111,0.746717393,0.658471498,0.595226649,0.466207817,0.650753899,0.588517673,0.415610665,0,0, nan
crossing_traffic_inst_mdp__7.log,0.684619103,0.64803708,0.6349996,0.683739175,0.71325693,0.739668366,0.77086906,0.779091183,0.802140116,0.794053566,0.804920525,0.797982999,0.788525329,0.842882639,0.887679797,0.889971332,0.81575722,0.897659758,0.840806616,0.736471221,0.568400771,0.605669029,0.603436582,0.819092516,0.824030274,0.854735883,0.693376414,0.617493473,0.644125517,0.598087702,0.440215476,0.562538717,0.708972727, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__8.log,0.711258671,0.682521552,0.636874127,0.610670345,0.647791373,0.66441471,0.711315333,0.657633973,0.724952059,0.698427144,0.676543397,0.66657672,0.64208907,0.656626749,0.66658037,0.654126775,0.671187342,0.660617607,0.657902169,0.666916227,0.692880285,0.661842046,0.639547035,0.615253395,0.662294553,0.64391006,0.637977482,0.63299282,0.604860582,0.546652052,0.57790878,0.606152117,0.51936688,0.40328514,0.292262453,0.229592889,0.284346117,0.075923435,0, nan
crossing_traffic_inst_mdp__9.log,0.624354514,0.593488241,0.601278423,0.603197326,0.66342716,0.726680068,0.757733387,0.787587217,0.803994937,0.752290076,0.741399303,0.73350239,0.728957298,0.727508362,0.703143187,0.71809023,0.649672071,0.740483153,0.788952942,0.784318963,0.817296371,0.765836755,0.85205702,0.870081616,0.818102514,0.859521032,0.594417077,0.653179191,0.71582411,0.938876147,0.928741398,0.889341296, nan, nan, nan, nan, nan, nan, nan, nan
elevators_inst_mdp__1.log,0.645921479,0.629091686,0.540792118,0.536523877,0.478858045,0.595520568,0.612018444,0.534414426,0.582558715,0.523134086,0.574582951,0.528696855,0.589377442,0.57753797,0.538912044,0.536537626,0.490630149,0.518612745,0.546904062,0.553983342,0.50634639,0.6373372,0.58858647,0.494450195,0.521073838,0.541466149,0.605512359,0.5862692,0.594399903,0.515391562,0.51117563,0.525379502,0.576181231,0.463578644,0.471053391,0.469206349,0.570793651,0.507417027,0.560606061, nan
elevators_inst_mdp__10.log,0.642337177,0.638899446,0.624035354,0.623479288,0.62374516,0.612770834,0.609921149,0.592243341,0.589609663,0.587735595,0.58146291,0.567644662,0.545510957,0.545125965,0.546077095,0.540010373,0.542661024,0.541419048,0.526622515,0.524993559,0.521746545,0.522744471,0.519253615,0.5058162,0.502157109,0.499161897,0.511011487,0.513512726,0.515826376,0.535385237,0.545480622,0.575544943,0.593650278,0.603843268,0.667162378,0.755656028,0.646381517,0.675585026,0.657463858, nan
elevators_inst_mdp__2.log,0.587895977,0.594765861,0.596460361,0.598582955,0.597739387,0.597978176,0.604285517,0.597368752,0.596709882,0.602134292,0.598799976,0.603456042,0.599798676,0.601551851,0.606015237,0.603181148,0.593842137,0.593020889,0.589978407,0.590969692,0.59400522,0.592537992,0.601379374,0.618544857,0.642126309,0.661613522,0.692228342,0.70566405,0.703626836,0.739050082,0.732213618,0.707400297,0.658217189,0.554569016,0.653299015,0.665130824,0.622025168,0.649126487,0.573601267, nan
elevators_inst_mdp__3.log,0.842435109,0.8593109,0.859189368,0.848370726,0.846539081,0.840145348,0.835957499,0.838404867,0.837371691,0.835082802,0.832359322,0.83002075,0.826545337,0.827006751,0.826069766,0.824587802,0.817431673,0.817816301,0.831824591,0.817274267,0.809373781,0.80350495,0.804053829,0.786519299,0.793358462,0.811308644,0.819727956,0.823519111,0.836193509,0.842390148,0.822660407,0.789488497,0.767141051,0.7103931,0.642119378,0.640713491,0.576239697,0.462274841,0.430485934, nan
elevators_inst_mdp__4.log,0.57681285,0.593235694,0.589514337,0.575537614,0.569970124,0.591190567,0.573397808,0.577213176,0.560643621,0.596819042,0.624757043,0.590711936,0.557496076,0.590626764,0.563031751,0.598982044,0.551042617,0.601402419,0.582711536,0.608442396,0.601036295,0.630849494,0.593070162,0.650155273,0.632242326,0.610003794,0.654531984,0.638413464,0.629792699,0.652360191,0.639594236,0.582229997,0.653345079,0.591598232,0.581064155,0.548210075,0.615558298,0.565553644,0.588377548, nan
elevators_inst_mdp__5.log,0.754176739,0.786215879,0.812523931,0.820561857,0.812854796,0.81343017,0.802015448,0.804292365,0.8095549,0.819301159,0.826684824,0.817414547,0.812187003,0.808691439,0.813128753,0.811299661,0.810541129,0.806910597,0.816068532,0.805994169,0.80206609,0.796173964,0.795344551,0.793139953,0.79734356,0.801695765,0.807948522,0.809850081,0.813277492,0.801604001,0.79064368,0.782962261,0.784101501,0.807254874,0.828283759,0.805987931,0.699293819,0.678184922,0.661801485, nan
elevators_inst_mdp__6.log,0.80721749,0.850684123,0.867421864,0.868883658,0.859584796,0.843432757,0.827065347,0.832362879,0.838987784,0.840609119,0.849796035,0.855430919,0.854414943,0.852050351,0.848712714,0.843301389,0.832000683,0.825487336,0.82482198,0.835570486,0.832297993,0.833593649,0.824706542,0.831067739,0.83455273,0.837850003,0.831024178,0.830806814,0.824481204,0.822423503,0.817069128,0.81590845,0.801486729,0.796367104,0.807334948,0.743269217,0.701689972,0.662041511,0.613456844, nan
elevators_inst_mdp__7.log,0.626886309,0.626527039,0.60891248,0.58351231,0.558749103,0.546926893,0.546336407,0.543348733,0.538372578,0.529698674,0.526950492,0.518887369,0.503497869,0.502076408,0.495404285,0.488809053,0.488740349,0.496067646,0.503920473,0.507210196,0.501515066,0.494249858,0.498426334,0.490986577,0.497054608,0.510784035,0.517061445,0.527644923,0.544494023,0.569708189,0.580037201,0.590106483,0.660131293,0.666724778,0.688704369,0.598767982,0.636576657,0.623956481,0.535630883, nan
elevators_inst_mdp__8.log,0.759700512,0.817008871,0.839621775,0.84332593,0.853471956,0.865732185,0.859668038,0.856989247,0.857285598,0.844999816,0.849672184,0.847006333,0.852338128,0.862950668,0.867310814,0.867322247,0.870677689,0.861186088,0.850937616,0.845262476,0.836948986,0.840908748,0.844433828,0.845923839,0.845133075,0.841372625,0.849677003,0.863247087,0.860440159,0.843383222,0.831278997,0.828663132,0.823357565,0.824902295,0.810569816,0.793975208,0.745304798,0.756521793,0.808591029, nan
elevators_inst_mdp__9.log,0.791888548,0.847214604,0.876276512,0.877043693,0.879728833,0.874810984,0.871830862,0.868183472,0.858814649,0.860189302,0.850223439,0.846288103,0.857711701,0.858488201,0.863839005,0.870895724,0.876825171,0.874575123,0.872941345,0.87964427,0.881412254,0.877787978,0.865209584,0.846475056,0.839402003,0.841641196,0.839643775,0.836254702,0.834330552,0.8337634,0.842624521,0.851823326,0.835220488,0.812581313,0.779401489,0.784696749,0.709466399,0.788810969,0.705564681, nan
game_of_life_inst_mdp__1.log,0.948616484,0.94405054,0.941740268,0.938242017,0.936005339,0.932982167,0.902700242,0.893465383,0.893758384,0.88947398,0.8860552,0.888360493,0.885419851,0.898038945,0.893850242,0.887539216,0.882997451,0.860783855,0.858644623,0.850711897,0.830344958,0.828095711,0.795038104,0.766827724,0.726095063,0.697926634,0.657107367,0.603138351,0.588893,0.588980214,0.55767065,0.6024236,0.559406792,0.544720202,0.634183392,0.560004504,0.777981338,0.426239485,0.682596616, nan
game_of_life_inst_mdp__10.log,0.999963648,0.998181465,0.999477051,0.998791551,0.998740911,0.996706014,0.99431166,0.993375396,0.994387157,0.993514909,0.992889068,0.994926413,0.995615473,0.99629171,0.991246595,0.996313832,0.995178109,0.995368642,0.997818002,0.995779174,0.997557077,0.997849422,0.997422258,0.997761625,0.997979549,0.99779316,0.996457718,0.996746427,0.998007705,0.996583172,0.997699116,0.998015786,0.996974013,0.995950267,0.997293461,0.968880693,0.789227266,0.912455589,0.988171618, nan
game_of_life_inst_mdp__2.log,0.538055304,0.555565866,0.608040077,0.632306201,0.651134112,0.634477567,0.641308649,0.655470709,0.696724942,0.729284345,0.751706443,0.781036991,0.81085825,0.792332976,0.764580868,0.764643674,0.767350784,0.766550643,0.771539542,0.792675698,0.792111544,0.79597293,0.797663065,0.813406918,0.824188194,0.831394742,0.826215699,0.828310123,0.820651334,0.822131658,0.795010889,0.754399149,0.663801423,0.62074877,0.533619639,0.574126043,0.522915571,0.561005478,0.518135769, nan
game_of_life_inst_mdp__3.log,0.80223954,0.847969859,0.84556934,0.86587113,0.860709538,0.859360418,0.871900987,0.885945657,0.890748156,0.881158389,0.872107097,0.886457466,0.878454168,0.866778553,0.868053138,0.879176834,0.891154199,0.888353909,0.895942952,0.894509931,0.896738247,0.893034693,0.885345599,0.896206221,0.898404368,0.892495564,0.896485648,0.892450089,0.885369402,0.893205563,0.866985685,0.857199405,0.855790088,0.766715201,0.648401382,0.598692734,0.566529766,0.487982188,0.268618158, nan
game_of_life_inst_mdp__4.log,0.990572745,0.990522972,0.989105094,0.985038907,0.987208559,0.980346115,0.982105766,0.98572927,0.971068084,0.983957266,0.981840521,0.982340747,0.983029815,0.976750921,0.982986179,0.978931574,0.979463236,0.98334984,0.976403056,0.975500898,0.975507343,0.974693518,0.967219473,0.969596889,0.968911225,0.963101173,0.960565573,0.938783746,0.935373645,0.936303933,0.917786242,0.9025025,0.87743435,0.803582756,0.761850892,0.68132301,0.598642817,0.476675656,0.550217419, nan
game_of_life_inst_mdp__5.log,0.994232701,0.995122068,0.991845889,0.993591971,0.993154762,0.992343078,0.992239345,0.992103738,0.99197787,0.992183302,0.993385505,0.993439381,0.989079077,0.991709048,0.99117379,0.989416941,0.982546138,0.979266785,0.979174859,0.980726226,0.990441492,0.991508039,0.988089239,0.986655905,0.985389689,0.985762707,0.982300362,0.981275156,0.982884214,0.972178725,0.961012443,0.958513916,0.955864926,0.955977656,0.948588071,0.931651595,0.833993195,0.653470788,0.34816807, nan
game_of_life_inst_mdp__6.log,0.993744122,0.991947776,0.988831084,0.981089272,0.981633073,0.984692842,0.982866686,0.98379212,0.989168458,0.987424605,0.98938667,0.984965954,0.985091566,0.988452296,0.991017507,0.990076601,0.986504227,0.981171029,0.986042589,0.989389463,0.987275993,0.989238141,0.984157308,0.985673848,0.985187488,0.978184909,0.979627491,0.972615235,0.977752178,0.986566145,0.988693782,0.981250353,0.977376524,0.966557105,0.9642823,0.943178848,0.950852285,0.667749799,0.043951667, nan
game_of_life_inst_mdp__7.log,0.994573291,0.998343189,0.995748425,0.997079757,0.997933071,0.996590034,0.996727244,0.995731248,0.998886404,0.996288577,0.998173203,0.996240247,0.996957362,0.997867764,0.996510436,0.998241504,0.996312711,0.998582166,0.997781794,0.99809221,0.9958437,0.994197627,0.99655917,0.996827657,0.997001685,0.996697439,0.997499236,0.996953693,0.998021045,0.997136963,0.998200097,0.997610647,0.997847243,0.996593923,0.995685003,0.939346303,0.80852322,0.842845628,0.942843207, nan
game_of_life_inst_mdp__8.log,0.998061317,0.999174232,0.997512132,0.998578979,0.998836475,0.996621484,0.999252697,0.99908983,0.998421242,0.998949907,0.9988605,0.997476059,0.998378676,0.997845082,0.999092085,0.997877758,0.99715554,0.996718701,0.99908363,0.998728024,0.996727728,0.998196558,0.999196204,0.998688081,0.998875779,0.999020566,0.999064629,0.999303683,0.998722489,0.997199424,0.998906671,0.999255274,0.998610845,0.998395318,0.998719865,0.993142939,0.804080419,0.817090616,0.843809884, nan
game_of_life_inst_mdp__9.log,0.999405853,0.999337955,0.999172017,0.999207017,0.998558276,0.999014902,0.998868053,0.99885396,0.997568155,0.999151047,0.998935571,0.999006183,0.99910458,0.998332483,0.997067864,0.997811394,0.997014978,0.997436711,0.999171831,0.998757658,0.999189686,0.998572113,0.997247124,0.998605408,0.998652541,0.995647156,0.998845073,0.99782608,0.997533844,0.997891825,0.994785008,0.99738067,0.998642012,0.999323963,0.998156948,0.997866253,0.867529687,0.718519139,0.790053923, nan
navigation_inst_mdp__1.log,0.998698212,1,0.475,0.811111111,0.75862069,0.977011494,0.879310345,0.974137931, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
navigation_inst_mdp__10.log,0.814771964,0.813672972,0.808253555,0.802204725,0.798808576,0.793033572,0.788659808,0.783341833,0.779013954,0.773958785,0.759594911,0.738179864,0.757331088,0.718154196,0.730242695,0.712650417,0.707898793,0.689993485,0.702763159,0.685752018,0.645725973,0.708558902,0.652625846,0.612883394,0.593589435,0.655946611,0.619364317,0.588229474,0.552419974,0.576828234,0.593490298,0.56550241,0.699710311,0.593844755,0.676941805,0.488095238,0.458333333,0.547619048,0.45, nan
navigation_inst_mdp__2.log,0.99406395,1,0.4,0.8,0.822222222,0.663793103,0.977011494,0.913793103,0.948275862,0.974137931, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
navigation_inst_mdp__3.log,0.982011655,0.809415735,0.691666667,0.625,0.711111111,0.586666667,0.778571429,0.976190476,0.821428571,0.955357143,0.991071429, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
navigation_inst_mdp__4.log,0.936063275,0.563801769,0.587784708,0.744472404,0.619366199,0.33576314,0.655503403,0.608333048,0.627919497,0.986273261,0.860996303,0.901815199,0.95207593,0.458333333,0.583333333,1,1,1,0.75,1, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
navigation_inst_mdp__5.log,0.962733007,0.962209422,0.686106594,0.669694108,0.726161044,0.451396868,0.68090016,0.500313629,0.538801628,0.670105413,0.813877668,0.789661075,0.760983996,0.769706102,0.73706868,0.798437302,0.851457094,0.902920436,0.919444612,0.904492161,0.701541028,0.763950059,0.737389611,0.665518629,0.589716572,0.57526678,0.482416698,0.566187047,0.637374268,0.5036638,0.630794186,0.505379382,0.511973576,0.599356878,0.722222222,0.583333333,0.5,0.5,0.375, nan
