instance,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
crossing_traffic_inst_mdp__1.log,0,0,0,0,0,0,0,0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__10.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.83E-05,0.007200056,0, nan
crossing_traffic_inst_mdp__2.log,0,0,0,0,0,0,0,0, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan
crossing_traffic_inst_mdp__3.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001551822,0.016684,0.298245614,0.233333333, nan, nan
crossing_traffic_inst_mdp__4.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000298838,4.72E-05,0.002471699,0.009355578,0.040431427,0.095769385,0.130063446,0.14864418,0.227382722,0.119298246,0.203007519,0.111111111, nan
crossing_traffic_inst_mdp__5.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.87E-05,0.00313161,0.044354839,0.080645161,0, nan
crossing_traffic_inst_mdp__6.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, nan
crossing_traffic_inst_mdp__7.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23E-06,7.81E-05,0.009300122,0.005934663,0, nan
crossing_traffic_inst_mdp__8.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, nan
crossing_traffic_inst_mdp__9.log,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003218478, nan, nan, nan, nan, nan
elevators_inst_mdp__1.log,0.362820765,0.280696865,0.310396517,0.28023053,0.329471415,0.313228676,0.251004534,0.195587611,0.319220876,0.251858372,0.270448084,0.244271358,0.264935163,0.30496696,0.29034725,0.276624585,0.295538472,0.252122257,0.23250952,0.245318845,0.292770152,0.23924851,0.28952381,0.289766798,0.225787414,0.284678857,0.243509488,0.222005007,0.273766234,0.271718216,0.180610043,0.300363241,0.238570082,0.302539683,0.348253968,0.248253968,0.278239538,0.234141414,0.295151515, nan
